Agency,State,Months,Population,Violent_crime_total,Murder_and_Manslaughter,Forcible_rape,Robbery,Aggravated_assault,Property_crime_total,Burglary,Larceny_theft,Motor_vehicle_theft,lat,long
Abilene Police Dept,TX,12,119886,472,3,38,127,304,4393,1037,3185,171,32.4887,99.7331
Akron City Police Dept,OH,12,198390,1759,24,167,577,991,10034,3429,5884,721,41.0814,81.519
Alexandria Police Dept,VA,12,145892,243,0,9,138,96,2990,281,2383,326,38.8048,77.0469
Allentown City Police Dept,PA,12,119334,653,15,54,374,210,4603,1248,2987,368,40.6084,75.4902
Amarillo Police Dept,TX,12,196576,1278,10,110,278,880,8900,2087,6184,629,35.222,101.8313
Amherst Town Police Dept,NY,12,117591,88,0,7,28,53,2261,214,2010,37,43.0271,78.7703
Ann Arbor Police Dept,MI,12,115008,227,1,35,50,141,2726,714,1898,114,42.2808,83.743
Antioch Police Dept,CA,12,105009,1068,10,29,372,657,4757,1741,1920,1096,38.0049,121.8058
Arvada Police Dept,CO,12,109029,158,0,22,29,107,2605,390,2014,201,39.8028,105.0875
Athens-Clarke County Police Department,GA,12,117457,455,5,48,158,244,4601,1149,3210,242,33.9519,83.3576
Aurora Police Dept,IL,12,199765,563,0,65,125,373,3565,944,2495,126,41.7606,88.3201
Baton Rouge Police Dept,LA,12,231500,2507,66,64,1033,1344,12059,3826,7751,482,30.4583,91.1403
Beaumont Police Dept,TX,12,120323,1242,13,76,408,745,5824,1828,3717,279,30.0802,94.1266
Bellevue Police Dept,WA,12,126022,161,2,26,67,66,3503,685,2649,169,47.6104,122.2007
Berkeley Police Dept,CA,12,114961,487,5,39,335,108,5696,971,4084,641,37.8716,122.2727
Billings Police Dept,MT,12,106371,370,3,38,68,261,4812,793,3608,411,45.7833,108.5007
Birmingham Police Dept,AL,12,213266,3237,67,152,983,2035,14788,4704,9042,1042,33.5207,86.8025
Boise Police Dept,ID,12,211569,567,1,75,64,427,5342,913,4272,157,43.6187,116.2146
Boulder Police Dept,CO,12,100257,249,0,32,48,169,2937,472,2337,128,40.015,105.2705
Bridgeport Police Dept,CT,12,146030,1760,22,388,606,744,5153,1377,2908,868,41.1865,73.1952
Broken Arrow Police Dept,OK,12,100688,155,1,33,39,82,2187,374,1698,115,36.0609,95.7975
Brownsville Police Dept,TX,12,181102,473,3,38,125,307,8337,1145,6986,206,25.9017,97.4975
Burbank Police Dept,CA,12,105057,243,2,24,111,106,2493,383,1911,199,34.1808,118.309
Cambridge Police Dept,MA,12,106981,431,1,20,135,275,3091,502,2482,107,42.3736,71.1097
Cape Coral Police Dept,FL,12,159625,229,4,16,41,168,3521,860,2547,114,26.5629,81.9495
Carslbad Police Dept,CA,12,107879,265,2,26,55,182,2109,497,1463,149,33.1581,117.3506
Carrollton Police Dept,TX,12,124477,180,2,7,75,96,3414,771,2358,285,32.9756,96.89
Cary Police Dept,NC,12,141016,115,0,11,29,75,1909,370,1476,63,35.7915,78.7811
Cedar Rapids Police Dept,IA,12,128401,356,3,43,97,213,4723,966,3503,254,41.9779,91.6656
Centennial,CO,12,104022,157,1,40,33,83,1439,277,1085,77,39.5807,104.8772
Chandler Police Dept,AZ,12,242721,628,4,64,149,411,6571,1147,5168,256,33.3062,111.8413
Charleston City Police Dept,SC,12,123856,296,12,19,104,161,3373,374,2764,235,32.7765,79.9311
Chattanooga Police Dept,TN,12,171541,1709,22,56,490,1141,10441,2291,7215,935,35.0456,85.3097
Chesapeake Police Dept,VA,12,227531,839,12,36,202,589,6292,1034,4979,279,36.7682,76.2875
Chula Vista Police Dept,CA,12,249830,581,8,33,227,313,5081,926,3153,1002,32.6401,117.0842
Clarksville Police Dept,TN,12,137356,875,10,46,99,720,3741,976,2598,167,36.5298,87.3595
Clearwater Police Dept,FL,12,109255,727,3,59,206,459,4264,919,3169,176,27.9659,82.8001
Columbia Police Dept,MO,12,110646,476,3,41,162,270,4221,784,3294,143,38.9517,92.3341
Columbia Police Dept,SC,12,131833,1042,8,62,337,635,7211,1723,4752,736,34.0007,81.0348
Columbus Police Dept,GA,12,196178,994,17,31,423,523,11266,2709,7711,846,32.461,84.9877
Concord Police Dept,CA,12,125205,402,0,19,153,230,4182,829,2694,659,38.0363,120.4013
Coral Springs Police Dept,FL,12,125021,229,1,10,78,140,2820,572,2098,150,26.2712,80.2706
Corona Police Dept,CA,12,157342,210,1,17,102,90,4143,861,2766,516,33.8753,117.5664
Costa Mesa Police Dept,CA,12,112635,254,4,32,83,135,4079,668,3050,361,33.6411,117.9187
Daly City Police Dept,CA,12,103311,216,0,9,76,131,1803,395,1151,257,37.6879,122.4702
Davenport Police Dept,IA,12,101193,604,4,40,151,409,4088,890,2912,286,41.5236,90.5776
Dayton,OH,12,142139,1384,24,112,633,615,8385,3043,4649,693,39.7589,84.1916
Denton Police Dept,TX,12,118942,369,1,86,82,200,3262,632,2473,157,33.2148,97.1331
Des Moines Police Dept,IA,12,207400,1094,7,100,250,737,10210,2514,6914,782,41.6005,93.6091
Downey Police Dept,CA,12,113628,381,6,20,190,165,3537,670,1908,959,33.9401,118.1332
Durham Police Dept,NC,12,235563,1710,21,63,615,1011,10279,3284,6291,704,35.994,78.8986
Edison Twp Police Dept,NJ,12,101007,122,0,9,59,54,1481,341,1029,111,40.5187,74.4121
El Cajon Police Dept,CA,12,101864,365,2,24,147,192,2414,493,1527,394,32.7948,116.9625
El Monte Police Dept,CA,12,115356,395,4,14,203,174,2230,571,1081,578,34.0686,118.0276
Elgin Police Dept,IL,12,109155,257,2,67,76,112,1982,357,1546,79,42.0354,88.2826
Elizabeth Police Dept,NJ,12,126281,1007,14,37,535,421,4351,987,2197,1167,40.664,74.2107
Erie Police Dept,PA,12,101972,458,8,64,172,214,3510,1095,2311,104,42.1292,80.0851
Escondido Police Dept,CA,12,147386,628,5,38,206,379,3887,764,2365,758,33.1192,117.0864
Eugene Police Dept,OR,12,158043,430,0,72,196,162,8004,1515,6054,435,44.0521,123.0868
Evansville Police Dept,IN,12,118194,560,8,56,199,297,6083,1132,4531,420,37.9716,87.5711
Everett Police Dept,WA,12,105318,481,1,46,182,252,6416,1165,4281,970,47.979,122.2021
Fairfield Police Dept,CA,12,107110,454,8,30,139,277,3317,676,2144,497,41.1408,73.2613
Fargo Police Dept,ND,12,109813,394,2,69,46,277,2835,451,2229,155,46.8772,96.7898
Fayetteville Police Dept,NC,12,205966,1186,22,70,560,534,13163,4109,8298,756,35.0527,78.8784
Flint City Police Dept,MI,12,101632,2774,63,108,673,1930,5645,2979,2207,459,43.0125,83.6875
Fontana Police Dept,CA,12,200874,850,5,31,291,523,4494,1099,2389,1006,34.0922,117.435
